Tweet ID,Original Tweet,Preprocessed,Reference Translation: Google Translation,Reference Translation: Microsoft Translation,Translated Tweet: M2M-100 model,Translated Tweet: MarianMT model,Created At,Language
1582384795283181568,omaygad,omaygad,omaygad,omaygad,oramegad,omaygad,2022-10-18 14:55:09+00:00,es
1581831017547304960,cuando a uno le gusta alguien uno no funciona bien,cuando a uno le gusta alguien uno no funciona bien,when you like someone you don't work well,"When you like someone, you don't work well.",When you like someone you don't work well.,"When you like someone, you don't work well.",2022-10-17 02:14:38+00:00,es
1581767330391998465,sabrá Dios,sabra dios,God knows,Sabra Dios,God knows.,sabra god,2022-10-16 22:01:34+00:00,es
1581726400842977281,quiero hablar mucho,quiero hablar mucho,I want to talk a lot,I want to talk a lot,I want to talk a lot,I want to talk a lot.,2022-10-16 19:18:55+00:00,es
1581725631766990848,un día lluvioso,un dia lluvioso,A rainy day,A rainy day,A rainy day,a rainy day,2022-10-16 19:15:52+00:00,es
1581725522236612608,agradecido,agradecido,grateful,thankful,Thank you very much.,Thank you.,2022-10-16 19:15:26+00:00,es
1581292746765369346,wow... que sueño tan loco,wow... que sueno tan loco,wow... that sounds so crazy,wow... that I sound so crazy,Wow... that sounds so crazy.,Wow... I sound so crazy.,2022-10-15 14:35:44+00:00,es
1580607471013404672,donde tu estas?,donde tu estas?,where you are?,Where are you?,Where are you?,Where are you?,2022-10-13 17:12:42+00:00,es
1579949442849189888,hoy si que si,hoy si que si,today yes yes,Today if that yes,Today yes yes,"Today, yes.",2022-10-11 21:37:55+00:00,es
1579488649389150208,el año no se ha acabado bro... https://t.co/hFfJ7ayDVC,el ano no se ha acabado bro...,the year is not over bro...,The anus is not over bro...,"The year's not over, bro...",The anus isn't over bro...,2022-10-10 15:06:54+00:00,es
1579172187709526019,siempre soy yo,siempre soy yo,It's always me,It's always me,It's always me.,It's always me.,2022-10-09 18:09:23+00:00,es
1579033570273697792,uno falla cuando se equivoca,uno falla cuando se equivoca,one fails when one is wrong,You fail when you're wrong,You fail when you're wrong.,You fail when you're wrong.,2022-10-09 08:58:34+00:00,es
1579033397191938048,me duele el cóccix,me duele el coccix,my coccyx hurts,My coccix hurts,My coccix hurts.,My coccix hurts.,2022-10-09 08:57:53+00:00,es
1579029354688184320,está lloviendo y no escampa,esta lloviendo y no escampa,it's raining and it doesn't clear,It's raining and it's not raining,It's raining and it's not running away.,It's raining and it's not camping.,2022-10-09 08:41:49+00:00,es
1579029260186324992,mantequilla de maní,mantequilla de mani,peanut butter,peanut butter,Butter of mani,mani butter,2022-10-09 08:41:27+00:00,es
1579029135979991040,kanguro Jack,kanguro jack,kanguro jack,Kangaro Jack,Kangaroo jack,kanguro jack,2022-10-09 08:40:57+00:00,es
1579028996238741508,vete pa' allá,vete pa' alla,vete pa' alla,go to the streets,Go to her,"Go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go.",2022-10-09 08:40:24+00:00,es
1579028845478686720,perdí el beeper y las llaves,perdi el beeper y las llaves,I lost the beeper and the keys,I lost the beeper and keys,I lost the beeper and the keys.,I lost the beeper and the keys.,2022-10-09 08:39:48+00:00,es
1579028786376749057,me voy pa' Alaska,me voy pa' alaska,I'm going to Alaska,I'm going to Alaska,I'm going to Alaska.,I'm leaving for alaska.,2022-10-09 08:39:34+00:00,es
1579028688443961344,en mis ojos se nota no lo puedo esconder...,en mis ojos se nota no lo puedo esconder...,It shows in my eyes I can't hide it...,In my eyes you can not hide it ...,I can't hide it in my eyes.,I can't hide it in my eyes...,2022-10-09 08:39:10+00:00,es
1578967089997488128,quiero sentirme diferente pero es que eso no se elige...,quiero sentirme diferente pero es que eso no se elige...,I want to feel different but that is not chosen...,I want to feel different but that is not chosen...,"I want to feel different, but that's not elective...","I want to feel different, but it's just that you don't choose...",2022-10-09 04:34:24+00:00,es
1578045309048995842,me tropecé con un aguacate,me tropece con un aguacate,I stumbled across an avocado,I stumble upon an avocado,I stumble over an avocado,I tripped over an avocado.,2022-10-06 15:31:34+00:00,es
1578041482874863616,kiero dalte en fol en la silla,kiero dalte en fol en la silla,kiero dalte in fol on the chair,Kiero Dalte in fol in La Silla,I'll kick your ass in the chair,kiero dalte en fol en la chair,2022-10-06 15:16:22+00:00,es
1577717050658652160,hay días más brutales que otros,hay dias mas brutales que otros,there are days more brutal than others,There are days more brutal than others,There are days more brutal than others,There are days more brutal than others.,2022-10-05 17:47:12+00:00,es
1577715703041466369,un puño en la quijá,un puno en la quija,a fist in the jaw,A Puno in La Quija,A pinch on the chin,a pune in the quija,2022-10-05 17:41:50+00:00,es
1577714601696923650,ese chiste no fue tan gracioso,ese chiste no fue tan gracioso,that joke was not so funny,That joke wasn't so funny.,That joke wasn't so funny.,That joke wasn't that funny.,2022-10-05 17:37:28+00:00,es
1577713996379164685,de un punto a otro,de un punto a otro,from one point to another,From one point to another,From one point to another,from one point to another,2022-10-05 17:35:03+00:00,es
1577712620903301121,pues dale entonces hablamos después,pues dale entonces hablamos despues,"Well then, let's talk later",well give him then we speak later,"Well, give it to me then.",Then we'll talk later.,2022-10-05 17:29:35+00:00,es
1577402116397797399,forgera baoret,forgera baoret,forgera baoret,Forgera Baoret,forger baoret,forgera baoret,2022-10-04 20:55:45+00:00,es
1577401751833292801,tengo una rodilla chueca,tengo una rodilla chueca,I have a crooked knee,I have a crooked knee,I have a weak knee.,I've got a pimply knee.,2022-10-04 20:54:19+00:00,es
1577401007566426194,fuap... adivina,fuap... adivina,fuap... adivina,fuap... seer,Fuap... guess what?,fuap... guess what?,2022-10-04 20:51:21+00:00,es
1577400428278464512,antibiótico una vez al día con comida,antibiotico una vez al dia con comida,antibiotic once a day with food,antibiotic once a day with food,antibiotic once a day with food,antibiotic once a day with food,2022-10-04 20:49:03+00:00,es
1577399395385020424,hay como 27 canciones que me hacen pensar en ti,hay como 27 canciones que me hacen pensar en ti,there are like 27 songs that make me think of you,There are like 27 songs that make me think of you,There are like 27 songs that make me think of you,There's like 27 songs that make me think about you.,2022-10-04 20:44:57+00:00,es
1577398031288307722,borracho sin beber,borracho sin beber,drunk without drinking,drunk without drinking,Drunk without drinking,drunk without drinking,2022-10-04 20:39:31+00:00,es
1575062260111638529,en la disco habían mil...,en la disco habian mil...,In the disco there were thousands...,In the disco there were thousand...,"On the record, there were a thousand...",On the record there were a thousand...,2022-09-28 09:58:00+00:00,es
1570965403232522242,siento y pienso mucho más de lo que digo,siento y pienso mucho mas de lo que digo,I feel and think much more than I say,I feel and think much more than I say,I feel and think much more than I say,I feel and I think a lot more than I say.,2022-09-17 02:38:33+00:00,es
1570335106908442624,un loco soñador nomás,un loco sonador nomas,just a crazy dreamer,A crazy sonador nomas,A crazy sonar named,a mad sonator nomas,2022-09-15 08:53:59+00:00,es
1570215014082170880,eso es viejo pero es nuevo,eso es viejo pero es nuevo,that's old but it's new,That's old but it's new,That's old but it's new.,"That's old, but it's new.",2022-09-15 00:56:47+00:00,es
1570211829355511810,los carritos chocones no tiene seguro,los carritos chocones no tiene seguro,bumper cars do not have insurance,Bumper Carts Have No Insurance,The shark cart has no insurance.,Chocon carts don't have insurance,2022-09-15 00:44:07+00:00,es
1570208069497552902,estoy activo en el grupo de whatsapp,estoy activo en el grupo de whatsapp,I am active in the whatsapp group,I am active in WhatsApp group,I'm active in the whatsapp group,I'm active in whatsapp group.,2022-09-15 00:29:11+00:00,es
1570164016206712833,y si nadie me hace reír pues me hago reír yo mismo jajajajaj,y si nadie me hace reir pues me hago reir yo mismo jajajajaj,"And if no one makes me laugh, then I make myself laugh hahahahaha",and if nobody makes me laugh then I make myself laugh hahahahaj,And if no one makes me laugh then I make me laugh myself fuck it,And if no one makes me laugh then I make myself laugh,2022-09-14 21:34:08+00:00,es
1569063244249333760,sácate eso de adentro,sacate eso de adentro,get that out of the inside,Get that out of the inside,Get that out of the way.,Get that out of the inside.,2022-09-11 20:40:03+00:00,es
1569049152449036288,los viejos son locos con el bistek,los viejos son locos con el bistek,the old are crazy with the steak,The old guys are crazy about the bistek,Old people are crazy about bistek.,Old people are crazy with the bistek.,2022-09-11 19:44:04+00:00,es
1568849100250181632,corriendo caballo,corriendo caballo,running horse,Running horse,Riding a horse,Running horse,2022-09-11 06:29:07+00:00,es
1568812091372617729,mejor ahora que somos jóvenes,mejor ahora que somos jovenes,better now that we are young,Better now that we are young,Better now that we're young,better now that we're young,2022-09-11 04:02:04+00:00,es
1568661560221990914,no olvides darle de comer al perro y echarle agua a las plantas,no olvides darle de comer al perro y echarle agua a las plantas,don't forget to feed the dog and water the plants,Do not forget to feed the dog and pour water on the plants,Don't forget to feed the dog and water the plants.,Don't forget to feed the dog and water the plants,2022-09-10 18:03:54+00:00,es
1568011792751763458,cualquier día de la semana,cualquier dia de la semana,any day of the week,any day of the week,Any day of the week,any day of the week,2022-09-08 23:01:58+00:00,es
1568008561719926784,no pienses tanto en eso,no pienses tanto en eso,don't think so much about it,Don't think so much about it,Don't think about it too much.,Don't think so much about it.,2022-09-08 22:49:07+00:00,es
1567251084082561031,me di en el deo chiquito del pie,me di en el deo chiquito del pie,I hit the little finger of the foot,I gave myself in the little toe of the foot,I hit the little toe.,I hit the little deo on my foot.,2022-09-06 20:39:11+00:00,es
1565870425191505920,me di un cantazo en el codo,me di un cantazo en el codo,I smacked my elbow,I gave myself a song in the elbow,I gave myself a singing in the elbow,I sung myself in the elbow.,2022-09-03 01:12:56+00:00,es
1565869555666169856,pienso y pienso y pienso,pienso y pienso y pienso,I think and I think and I think,I think and think and think,I think and I think and I think,think and think and think,2022-09-03 01:09:29+00:00,es
1565387800974921729,"en tus ojos veo el mar, mami llevame en tu olaaaaaaaa 🌊","en tus ojos veo el mar, mami llevame en tu olaaaaaaaa","I see the sea in your eyes, mommy take me on your waveaaaaaaa","In your eyes I see the sea, mommy take me in your olaaaaa","In your eyes I see the sea, mommy take me in your waaaaaaa","In your eyes I see the sea, Mommy carry me in your waveaaaaaaa",2022-09-01 17:15:09+00:00,es
1563904899703873538,tu llevas rato mirando y mirando... pégate mejor,tu llevas rato mirando y mirando... pegate mejor,You've been looking and looking for a while... stick better,you've been looking and looking for a while... stick better,You've been looking and looking for a while... stick better,You've been looking and watching for a while.,2022-08-28 15:02:38+00:00,es
1562480730403663872,ME SIENTO COMO EL SOL...🎶,me siento como el sol...,I feel like the sun...,I feel like the sun...,I feel like the sun...,I feel like the sun...,2022-08-24 16:43:30+00:00,es
1562103978242052101,en el mundo hay gente bruta y astuta🎶,en el mundo hay gente bruta y astuta,there are stupid and cunning people in the world,In the world there are brute and cunning people,There are rude and cunning people in the world.,In the world there are brute and shrewd people,2022-08-23 15:46:25+00:00,es
1561803405860954116,me encanta hablar solo y yo mismo contestarme,me encanta hablar solo y yo mismo contestarme,I love to talk to myself and answer myself,I love to talk alone and answer myself,I love talking alone and answering myself.,I love talking to myself and I love to answer myself.,2022-08-22 19:52:03+00:00,es
1560038303394680832,yo no puedo escuchar una bachata sin que me den ganas de beber,yo no puedo escuchar una bachata sin que me den ganas de beber,I can't listen to bachata without making me want to drink,I can't listen to bachata without feeling like drinking,I can't hear a bachata without them making me want to drink.,I can't hear a bachata without having to drink.,2022-08-17 22:58:10+00:00,es
1559620025832587266,mi mundo está jodiooo y me siento perfectoooooo🎶,mi mundo esta jodiooo y me siento perfectoooooo,my world is fucked up and i feel perfect,my world is jodiooo and I feel perfectooooo,My world is fucked up and I feel perfect,My world is fucked up and I feel perfect.,2022-08-16 19:16:05+00:00,es
1559616112215597057,"tengo la boca dormida, me muerdo y no me duele","tengo la boca dormida, me muerdo y no me duele","my mouth is numb, I bite and it doesn't hurt","My mouth is asleep, I bite and it doesn't hurt","I have a sleepy mouth, I bite and it doesn't hurt.","My mouth is asleep, I bite and it doesn't hurt.",2022-08-16 19:00:32+00:00,es
1559615467173695490,todo el día,todo el dia,all day,all day,All day long,all day,2022-08-16 18:57:58+00:00,es
1557124804238610433,para aprender hay que equivocarse mas de una vez,para aprender hay que equivocarse mas de una vez,to learn you have to be wrong more than once,To learn you have to make mistakes more than once,"To learn, you have to make mistakes more than once.",to learn you have to be wrong more than once,2022-08-09 22:00:57+00:00,es
1552679430421635076,"PUERTO RICOOOO!!! Hoy lo que hay es un party cabrón de esquina a esquina. """"Un Verano Sin Ti"""" es UN VERANO EN PR 🇵🇷 !!! Esto es pa' ustedes! Disfruten, pásenla cabrón y pórtense bonito. ❤️","puerto ricoooo!!! hoy lo que hay es un party cabron de esquina a esquina. """"un verano sin ti"""" es un verano en pr !!! esto es pa' ustedes! disfruten, pasenla cabron y portense bonito.","Puerto Rico!!! Today what there is is a bastard party from corner to corner. ""a summer without you"" is a summer in pr !!! this is for you! Enjoy, have fun, bastard, and be nice.","Puerto Ricoooo!! Today what there is is a party from corner to corner. """"A summer without you"" is a summer in !! This is for you! Enjoy, pass it cabron and portense beautiful.","Puerto Ricoooo!!! today what we have is a fucking party corner to corner. """"a summer without you"""" is a summer in pr!!! this is for you! enjoy, have a fucking party and behave yourself.","ricooooo port!!! Today what there is is a party cabron from corner to corner. """"a summer without you"""" is a summer in pr!!! this is for you! enjoy, spend it asshole and be nice.",2022-07-28 15:36:38+00:00,es
1551037034130718722,QUE JUEGAZOOOOOOOO 🔥,que juegazoooooooo,what a game,that playzoooooooo,What a game,that plays woooooooo,2022-07-24 02:50:20+00:00,es
1550548053513211905,"hay q expander el oído y tratar d comprender más la perspectiva d las mujeres en la música urbana. No esperen q canten la misma mierda q los hombres, pq no lo son, SON MUJERES. Tamos tan acostumbrao al machismo en el genero q se nos hace difícil aceptar q una mujer le mete CABRÓN","hay q expander el oido y tratar d comprender mas la perspectiva d las mujeres en la musica urbana. no esperen q canten la misma mierda q los hombres, pq no lo son, son mujeres. tamos tan acostumbrao al machismo en el genero q se nos hace dificil aceptar q una mujer le mete cabron","You have to expand your ear and try to understand more the perspective of women in urban music. Don't expect them to sing the same shit as men, because they're not, they're women. We are so accustomed to machismo in the genre that it is difficult for us to accept that a woman makes him a bastard","We must expand the ear and try to understand more the perspective of women in urban music. Do not expect q sing the same shit q men, pq are not, they are women. tamos so accustomed to machismo in the genre q makes it difficult for us to accept q a woman gets him cabron","We need to expand our hearing and try to understand the perspective of women in urban music. Don't wait. They sing the same shit as men, because they're not, they're women.","It is necessary to expand the ear and try to understand more the perspective of women in urban music. do not expect to sing the same shit that men, pq they are not, are women. we have so used to machismo in the genre that it is difficult for us to accept that a woman puts him bastard",2022-07-22 18:27:18+00:00,es
1550544872922161152,hoy estoy contento y motivado,hoy estoy contento y motivado,Today I am happy and motivated,Today I am happy and motivated,Today I am happy and motivated,Today I am happy and motivated,2022-07-22 18:14:40+00:00,es
1550218736178794504,sorry por ser yo,sorry por ser yo,sorry for being me,sorry for being me,Sorry to be me.,I'm sorry for being me.,2022-07-21 20:38:43+00:00,es
1550154379398991873,"no sé, pero siempre huelo rico https://t.co/MaSFZj9S6r","no se, pero siempre huelo rico","I don't know, but I always smell delicious","I don't know, but I always smell rich","I don't know, but I always smell rich.","I don't know, but I always smell good.",2022-07-21 16:22:59+00:00,es
1550153443439943681,cualquiera se equivoca,cualquiera se equivoca,anyone is wrong,Anyone is wrong,Anyone is wrong.,Anyone's wrong.,2022-07-21 16:19:16+00:00,es
1550152558613860354,pero y como yo me saco está canción de la cabeza???? eaa rayoo https://t.co/hj2N912CUw,pero y como yo me saco esta cancion de la cabeza???? eaa rayoo,but how do I get this song out of my head???? wow ray,But how do I get this song out of my head???? EAA Rayoo,But how do I get this song out of my head?,But how do I get this song out of my head?????,2022-07-21 16:15:45+00:00,es
1549836518797320192,yo no soy celosooooooooooooo🎶,yo no soy celosooooooooooooo,I'm not jealous,"I'm not jealous,",I'm not jealous,I'm not jealous.,2022-07-20 19:19:55+00:00,es
1549146405750550533,queeeeedaaateeee que la noche sin ti dueeeeeeeeeele 🎶,queeeeedaaateeee que la noche sin ti dueeeeeeeeeele,queeeeeedaateeeee that the night without you dueeeeeeeeeele,queeeeedaaateeee that the night without you hurtseeeeeeeeeele,"I'm sorry, but the night without you is so sad.",♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ ♪ let's go ♪ let's go ♪ let's go ♪ let's go ♪,2022-07-18 21:37:39+00:00,es
1549069844099715073,las cosas más sencillas son las que se guardan en mi mente,las cosas mas sencillas son las que se guardan en mi mente,The simplest things are the ones that are kept in my mind,The simplest things are the ones that are kept in my mind,The simplest things are the ones that keep me in mind.,the simplest things are the ones kept in my mind,2022-07-18 16:33:25+00:00,es
1549067498871435265,"si en la tv dan mil veces spider-man, mil veces la veré","si en la tv dan mil veces spider-man, mil veces la vere","If on TV they show spider-man a thousand times, I will see it a thousand times","If on TV they give a thousand times Spider-Man, a thousand times I will see it","If on TV they give a thousand times Spider-Man, a thousand times I see her.","if on tv they give a thousand times spider-man, a thousand times vere",2022-07-18 16:24:06+00:00,es
1549066082186432513,eso suena brutal,eso suena brutal,that sounds brutal,That sounds brutal.,That sounds brutal.,That sounds brutal.,2022-07-18 16:18:28+00:00,es
1547714032580251648,ahora toca un verano sin ti🎶,ahora toca un verano sin ti,Now it's time for a summer without you,Now it's time for a summer without you,Now it's a summer without you,Now play a summer without you,2022-07-14 22:45:55+00:00,es
1547312637637173249,"pero imagínate tu, tu sabes, por que si fuera así... no no no, ni se te ocurra, bueno... a lo mejor si, quien sabe, con cuidaito, pero na' deja eso","pero imaginate tu, tu sabes, por que si fuera asi... no no no, ni se te ocurra, bueno... a lo mejor si, quien sabe, con cuidaito, pero na' deja eso","but imagine you, you know, because if it were like that... no no no, don't even think about it, well... maybe yes, who knows, be careful, but don't leave that","But imagine you, you know, because if it were so... no no no, don't even think about it, well... Maybe yes, who knows, carefully, but na' leaves that","But imagine you, you know, why if it was like that... no no no, no, you don't even think about it, well... maybe yes, who knows, with care, but don't let that go.","But imagine yourself, you know, because if it were like that... no no no, don't even think about it, well... maybe if, who knows, with babysitting, but na' leave that",2022-07-13 20:10:55+00:00,es
1547299280481837056,yupiiiiiiii,yupiiiiiiii,yupiiiiii,yupiiiiiiii,I'm not sure.,yupiiiiiiii,2022-07-13 19:17:50+00:00,es
1547285275386302464,a la gente le encanta vivir la vida de otros,a la gente le encanta vivir la vida de otros,people love to live the lives of others,People love to live the lives of others,People love to live the lives of others.,people love to live other people's lives,2022-07-13 18:22:11+00:00,es
1547278475630968835,no cualquiera me soporta,no cualquiera me soporta,not everyone supports me,Not just anyone can stand me,Not anyone can stand me.,Not anyone can stand me.,2022-07-13 17:55:10+00:00,es
1546947159823630336,pa' mi la única gente fea son los amargados,pa' mi la unica gente fea son los amargados,For me the only ugly people are the bitter ones,Pa' mi the only ugly people are the bitter,The only ugly people are the bitter ones,For my only ugly people are the bitter ones,2022-07-12 19:58:38+00:00,es
1545221179652308992,"A las personas que logren comprar taquillas, desde ya les digo gracias y felicidades!! ❤️ La vamos a pasar cabrón!!

A las personas que se queden fuera, tranquilos, no pasa nada...

todo PUERTO RICO podrá disfrutar de este concierto :) 🇵🇷","a las personas que logren comprar taquillas, desde ya les digo gracias y felicidades!! la vamos a pasar cabron!!
a las personas que se queden fuera, tranquilos, no pasa nada...
todo puerto rico podra disfrutar de este concierto :)","To the people who manage to buy ticket offices, from now on I say thank you and congratulations! we're going to have fun bastard!! to the people who stay outside, don't worry, nothing happens... all Puerto Rico will be able to enjoy this concert :)","To the people who manage to buy lockers, from now on I say thank you and congratulations! We're going to have a good time!
To the people who stay outside, calm, nothing happens ...
All of Puerto Rico will be able to enjoy this concert :)","To the people who manage to buy tickets, since I say thank you and congratulations!! we're going to pass it up! to the people who stay out, calm, it's okay... every Puerto Rico can enjoy this concert:)","to the people who manage to buy lockers, from now on I say thank you and congratulations!! we will pass the bastard!! to the people who stay outside, quiet, nothing happens... every rich port can enjoy this concert :)",2022-07-08 01:40:12+00:00,es
1542720857440755712,aquí no existe el pecado y equivocarse es bonito...,aqui no existe el pecado y equivocarse es bonito...,Here there is no sin and making mistakes is beautiful...,There is no sin here and making mistakes is nice...,There is no sin here and to be wrong is beautiful...,There's no sin here and it's nice to be wrong...,2022-07-01 04:04:49+00:00,es
1536342965794361344,buenos días 🫶🏻☀️,buenos dias,good morning,Good morning,Good day.,Good morning.,2022-06-13 13:41:21+00:00,es
1533831737570119681,"pero dale easy, easy...

que sabes que soy piscis...","pero dale easy, easy...
que sabes que soy piscis...","but come on easy, easy... you know I'm a Pisces...","But give it easy, easy...
that you know I'm Pisces...","But give it easy, easy... you know I'm a pussy...","But give him easy, easy... you know I'm pisces...",2022-06-06 15:22:38+00:00,es
1533308305665294336,"4 de la mañana...

y Andrea...","4 de la manana...
y andrea...",4 de la manana... y Andrea...,"4 in the morning...
and Andrea...",Four of the great... and Andrea...,4 in the morning... and andrea...,2022-06-05 04:42:42+00:00,es
1532065000566624256,"TITÍ ME PREGUNTÓ TO TO TO🎶

❤️ VIDEO NUEVO ❤️

https://t.co/jsXQXjktrW","titi me pregunto to to to
video nuevo",titi I wonder to to to new video,"titi I wonder to to to
new video",titi I wonder to to to to new video,Titi asked me to to to to video new,2022-06-01 18:22:15+00:00,es
1530626086698196992,el  ga  titotuyoteperdió,el ga titotuyoteperdio,the ga titotuyoteperdio,The cat titotuyoteperdio,The ga titotuyote lost,the ga titotuyoteperdium,2022-05-28 19:04:31+00:00,es
1529889780514689024,"1 - 1

eso no se puede quedar así","1 - 1
eso no se puede quedar asi",1 - 1 that can't stay like this,"1 - 1
That can't stay that way",1 - 1 that can't stay like this.,1 - 1 that can't stay that way,2022-05-26 18:18:42+00:00,es
1528124389631344641,"el sol está que pela, ponte sunblock","el sol esta que pela, ponte sunblock","The sun is burning, put on sunblock","The sun is peeling, get sunblock","The sun is shining, put sunblock","The sun is peeling, put on sunblock",2022-05-21 21:23:40+00:00,es
1528119143483981824,me picó una hormiga en la pantorrilla,me pico una hormiga en la pantorrilla,an ant stung me on my calf,I get bitten by an ant on my calf,I'm getting an ant in my calf.,I got an ant on my calf,2022-05-21 21:02:49+00:00,es
1528116777594540033,tienes la piel reseca,tienes la piel reseca,you have dry skin,you have dry skin,You have dry skin.,Your skin's dry.,2022-05-21 20:53:25+00:00,es
1527801116850892800,"Siempre lo digo y siempre lo voy a decir, no importa cuan arriba, cuantos logros o cuan mundial logre llegar, nunca nada superará el sentimiento de estar en PR y escuchar mi música sonar en los carros ❤️ el disco entero sonando de ESTE a OESTE puñeta gracias!! GRACIAS!!! 🫶🏻","siempre lo digo y siempre lo voy a decir, no importa cuan arriba, cuantos logros o cuan mundial logre llegar, nunca nada superara el sentimiento de estar en pr y escuchar mi musica sonar en los carros el disco entero sonando de este a oeste puneta gracias!! gracias!!!","I always say it and I will always say it, no matter how high, how many achievements or how global I manage to reach, nothing will ever overcome the feeling of being in pr and listening to my music playing in the cars the entire album playing from east to west puneta thank you !! thank you!!!","I always say it and I will always say it, no matter how much up, how many achievements or how much world I manage to arrive, nothing will ever overcome the feeling of being in PR and listening to my music sound in the cars the entire album playing from east to west puneta thanks! Thank you!!!","I always say it and I always will say it, no matter how high, how many achievements or how world-class I get, nothing will ever surpass the feeling of being in PR and listening to my music playing in cars the whole album playing from east to west puneta thank you!! thank you!!!","I always say it and I will always say it, no matter how high up, how many achievements or how world-wide I get, nothing will ever overcome the feeling of being in pr and listening to my music sound in the cars the whole album ringing from east to west punta thank you!! thank you!!!",2022-05-20 23:59:06+00:00,es
1526354654677897219,salgan un momentito afuera y vean la luna,salgan un momentito afuera y vean la luna,go outside for a moment and see the moon,Get outside for a moment and see the moon,Go outside for a moment and look at the moon,Come out for a little while and see the moon.,2022-05-17 00:11:22+00:00,es
1526004618366533632,LUKAAAAAAAA 🤯🫣,lukaaaaaaaa,lukaaaaaaa,lukaaaaaa,I'm not sure.,lukaaaaaaaaa,2022-05-16 01:00:27+00:00,es
1525623938402885632,"mañana voy a terapia, hoy voy pal teteo🎶","manana voy a terapia, hoy voy pal teteo","I have therapy, my pal said here","morning I'm going to therapy, today I'm going to pal teteo","Mama I'm going to therapy, today I'm going to pal tits","Tomorrow I'm going to therapy, today I'm going to teat",2022-05-14 23:47:46+00:00,es
1524839262243500032,"enséñame a bailar, mami yo no sé🎶","ensename a bailar, mami yo no se","teach me to dance, mommy I don't know","Teach me to dance, mommy I don't know","Teach me to dance, Mommy I don't know","Teach me how to dance, Mommy. I don't know.",2022-05-12 19:49:44+00:00,es
1524455727078719491,"caí en mi propia trampa... no puedo parar de escuchar el disco!!!

#UnVeranoSinTi","cai en mi propia trampa... no puedo parar de escuchar el disco!!!
unveranosinti",I fell into my own trap... I can't stop listening to the album!!! a summer i felt,"Cai in my own trap... I can't stop listening to the album!!
averanosinti",I fall into my own trap... I can't stop listening to the record!!! unveranosinti,fell into my own trap... I can't stop listening to the album!!! unveranosinti,2022-05-11 18:25:43+00:00,es
1523772410863833089,#UnVeranoSinTi en repeatttttttttt!!!,unveranosinti en repeatttttttttt!!!,unveranosinti en repeattttttttt!!!,UnveranoSinti en repeatttttttttt!!,We're not going to repeat it!,unveranosinti en repeattttttttt!!!,2022-05-09 21:10:27+00:00,es
